Taxon,Cluster
SRR3661938,1
ERR434017,1
ERR742615,1
SRR8722614,1
SRR8725694,1
ERR876468,1
SRR3662125,1
SRR7190612,1
SRR8725606,1
SRR7183875,1
SRR7183642,1
ERR586437,1
SRR8722084,1
SRR7176077,1
SRR8725894,1
ERR586409,1
SRR8725540,1
SRR11152671,1
SRR7176304,1
SRR7183500,1
ERR505778,1
SRR8722362,1
SRR8725749,1
SRR7190671,1
SRR8726107,1
SRR3663075,1
SRR7176209,1
SRR11141020,1
ERR433911,1
SRR8726584,1
ERR460201,1
ERR506057,1
SRR3662849,1
SRR7183310,1
SRR11152481,1
ERR662363,1
SRR8725837,1
SRR8722683,1
SRR7190614,1
SRR8725683,1
SRR8725560,1
SRR8721928,1
SRR11130514,1
ERR578022,1
ERR433967,1
SRR3663037,1
SRR7176142,1
SRR8726527,1
SRR11141178,1
SRR3662259,1
SRR8725313,1
SRR7183434,1
SRR8722586,1
SRR11130406,1
ERR433929,1
ERR505782,1
ERR505992,1
SRR3663072,1
SRR11130622,1
ERR506035,1
SRR7183928,1
ERR505744,1
ERR505803,1
SRR11130532,1
SRR8722360,1
SRR3662811,1
ERR505994,1
ERR433914,1
SRR7176423,1
ERR505732,1
ERR425490,1
SRR3662109,1
ERR433957,1
SRR8722169,1
ERR505993,1
SRR8725481,1
SRR3661655,1
ERR505801,1
SRR3663466,1
ERR433639,1
ERR433698,1
SRR8725271,1
SRR11130613,1
SRR11152302,1
SRR7190020,1
SRR11141283,1
ERR425477,1
SRR3663064,1
SRR8725529,3_6_409_1107
SRR8722704,3_6_409_1107
SRR8725514,3_6_409_1107
SRR3661490,3_6_409_1107
SRR8725766,3_6_409_1107
SRR7183307,3_6_409_1107
SRR8722068,3_6_409_1107
ERR505742,3_6_409_1107
SRR8726457,3_6_409_1107
SRR8722534,3_6_409_1107
SRR7190216,3_6_409_1107
SRR3662191,3_6_409_1107
SRR8725105,3_6_409_1107
SRR11130692,3_6_409_1107
SRR3661354,3_6_409_1107
SRR7183869,3_6_409_1107
ERR586402,3_6_409_1107
SRR8721986,3_6_409_1107
SRR8722828,3_6_409_1107
SRR7172235,3_6_409_1107
SRR11130055,3_6_409_1107
SRR7183211,3_6_409_1107
ERR326481,3_6_409_1107
SRR11152477,3_6_409_1107
SRR7176668,3_6_409_1107
ERR425464,3_6_409_1107
SRR11130078,3_6_409_1107
ERR876479,3_6_409_1107
SRR11130548,3_6_409_1107
SRR3661717,3_6_409_1107
ERR425414,3_6_409_1107
ERR433501,3_6_409_1107
SRR8725254,3_6_409_1107
SRR11152586,3_6_409_1107
SRR8725001,3_6_409_1107
SRR4242885,3_6_409_1107
SRR3661468,3_6_409_1107
SRR11141328,3_6_409_1107
SRR11141782,3_6_409_1107
SRR11130088,3_6_409_1107
SRR3663275,3_6_409_1107
SRR8725470,3_6_409_1107
SRR7176260,3_6_409_1107
SRR8726551,3_6_409_1107
SRR11152461,3_6_409_1107
SRR7183833,3_6_409_1107
SRR8722070,3_6_409_1107
SRR11152496,3_6_409_1107
SRR8726725,3_6_409_1107
SRR8725116,3_6_409_1107
SRR4242950,3_6_409_1107
ERR326498,3_6_409_1107
SRR3662433,3_6_409_1107
SRR7176522,3_6_409_1107
SRR7183577,3_6_409_1107
SRR8726690,3_6_409_1107
SRR7189779,3_6_409_1107
SRR4242948,3_6_409_1107
ERR438962,3_6_409_1107
SRR8722659,3_6_409_1107
ERR433609,3_6_409_1107
SRR11140954,3_6_409_1107
SRR11152285,3_6_409_1107
SRR3661829,3_6_409_1107
SRR3663559,3_6_409_1107
SRR7183418,3_6_409_1107
ERR449170,3_6_409_1107
SRR8721989,3_6_409_1107
SRR7190516,3_6_409_1107
SRR7183356,3_6_409_1107
SRR8725466,3_6_409_1107
SRR8722212,3_6_409_1107
SRR11130729,3_6_409_1107
SRR11130557,3_6_409_1107
SRR11130051,3_6_409_1107
SRR3661629,3_6_409_1107
SRR8722736,3_6_409_1107
SRR11130144,3_6_409_1107
ERR326489,3_6_409_1107
SRR8725757,3_6_409_1107
SRR8722284,3_6_409_1107
SRR7175854,3_6_409_1107
SRR3662063,3_6_409_1107
SRR8722837,3_6_409_1107
SRR8722481,3_6_409_1107
SRR7189822,3_6_409_1107
SRR4242879,3_6_409_1107
SRR8722527,3_6_409_1107
SRR8726633,3_6_409_1107
SRR3661634,3_6_409_1107
SRR8722023,3_6_409_1107
ERR433780,3_6_409_1107
SRR5168070,3_6_409_1107
SRR8722155,3_6_409_1107
SRR8722714,3_6_409_1107
SRR11130625,3_6_409_1107
SRR8725753,3_6_409_1107
SRR8725240,3_6_409_1107
SRR8725792,3_6_409_1107
SRR8725204,3_6_409_1107
SRR3661607,3_6_409_1107
SRR8722831,3_6_409_1107
ERR501468,3_6_409_1107
SRR7176088,3_6_409_1107
SRR3662151,3_6_409_1107
SRR11152309,3_6_409_1107
SRR8726575,3_6_409_1107
SRR7183451,3_6_409_1107
SRR11141430,3_6_409_1107
SRR8725667,3_6_409_1107
ERR586423,3_6_409_1107
SRR8726715,3_6_409_1107
SRR3661248,3_6_409_1107
SRR8722184,3_6_409_1107
SRR11141348,3_6_409_1107
SRR4242868,3_6_409_1107
ERR449112,3_6_409_1107
SRR11152996,3_6_409_1107
SRR8722784,3_6_409_1107
SRR8725643,3_6_409_1107
ERR434001,3_6_409_1107
SRR11152396,3_6_409_1107
ERR505821,3_6_409_1107
SRR7175916,3_6_409_1107
SRR11141650,3_6_409_1107
SRR11141698,3_6_409_1107
SRR8725459,3_6_409_1107
SRR3662951,3_6_409_1107
ERR449232,3_6_409_1107
SRR8722578,3_6_409_1107
SRR8726707,3_6_409_1107
ERR434009,3_6_409_1107
SRR3661247,3_6_409_1107
SRR8725360,3_6_409_1107
SRR11152670,3_6_409_1107
SRR3660624,3_6_409_1107
SRR4242860,3_6_409_1107
SRR11130711,3_6_409_1107
SRR3663041,3_6_409_1107
SRR8722431,3_6_409_1107
SRR8725597,3_6_409_1107
SRR8725921,3_6_409_1107
SRR7172252,3_6_409_1107
SRR4242882,3_6_409_1107
SRR8722491,3_6_409_1107
SRR3663236,3_6_409_1107
ERR449100,3_6_409_1107
ERR460190,3_6_409_1107
SRR3661399,3_6_409_1107
SRR11141518,3_6_409_1107
ERR876459,3_6_409_1107
SRR11141160,3_6_409_1107
SRR8725362,3_6_409_1107
SRR3661412,3_6_409_1107
SRR3662420,3_6_409_1107
ERR326482,3_6_409_1107
SRR11152864,3_6_409_1107
SRR8725325,3_6_409_1107
SRR8725067,3_6_409_1107
SRR3661191,3_6_409_1107
SRR11141248,3_6_409_1107
SRR11152601,3_6_409_1107
SRR8722651,3_6_409_1107
SRR4242884,3_6_409_1107
SRR3662744,3_6_409_1107
SRR8722225,3_6_409_1107
ERR876473,3_6_409_1107
SRR11130396,3_6_409_1107
SRR3661233,3_6_409_1107
SRR3661581,3_6_409_1107
SRR11130718,3_6_409_1107
SRR7176455,3_6_409_1107
SRR7183236,3_6_409_1107
SRR8722817,3_6_409_1107
SRR11129928,3_6_409_1107
SRR8725302,3_6_409_1107
ERR425439,3_6_409_1107
SRR3662843,3_6_409_1107
ERR449259,3_6_409_1107
SRR7184001,3_6_409_1107
SRR8722035,3_6_409_1107
SRR7183736,3_6_409_1107
SRR3663361,3_6_409_1107
SRR7190316,3_6_409_1107
SRR3662298,3_6_409_1107
SRR3661927,3_6_409_1107
SRR8722712,3_6_409_1107
ERR433647,3_6_409_1107
SRR7176432,3_6_409_1107
SRR8725928,3_6_409_1107
SRR7189875,3_6_409_1107
SRR3663308,3_6_409_1107
SRR11130135,3_6_409_1107
SRR11130459,3_6_409_1107
SRR11152286,3_6_409_1107
SRR3662822,3_6_409_1107
SRR11152281,3_6_409_1107
SRR7176589,3_6_409_1107
SRR11152819,3_6_409_1107
SRR3663356,3_6_409_1107
SRR5168096,3_6_409_1107
SRR11141653,3_6_409_1107
SRR8726086,3_6_409_1107
SRR11141197,3_6_409_1107
ERR438968,3_6_409_1107
SRR3662007,3_6_409_1107
SRR8722031,3_6_409_1107
SRR8725565,3_6_409_1107
ERR326575,3_6_409_1107
SRR11141636,3_6_409_1107
ERR425393,3_6_409_1107
SRR4242992,3_6_409_1107
SRR11130794,3_6_409_1107
SRR11153037,3_6_409_1107
ERR449169,3_6_409_1107
SRR8725979,3_6_409_1107
SRR7183425,3_6_409_1107
SRR11141229,3_6_409_1107
SRR11141421,3_6_409_1107
SRR7176131,3_6_409_1107
SRR8722423,3_6_409_1107
SRR8725234,3_6_409_1107
SRR11130275,3_6_409_1107
SRR8726040,3_6_409_1107
ERR433546,3_6_409_1107
SRR11130652,3_6_409_1107
SRR8722200,3_6_409_1107
SRR11130617,3_6_409_1107
SRR8722840,3_6_409_1107
ERR326401,3_6_409_1107
SRR11130649,3_6_409_1107
SRR11152545,3_6_409_1107
ERR505867,3_6_409_1107
SRR7183408,3_6_409_1107
SRR8722355,3_6_409_1107
SRR7176214,3_6_409_1107
ERR876504,3_6_409_1107
SRR8725447,3_6_409_1107
SRR7184121,3_6_409_1107
SRR7175834,3_6_409_1107
SRR8725112,3_6_409_1107
SRR11141794,3_6_409_1107
SRR7184027,3_6_409_1107
SRR7190576,3_6_409_1107
SRR11152407,3_6_409_1107
SRR3663423,3_6_409_1107
SRR7176435,3_6_409_1107
SRR7176105,3_6_409_1107
SRR8722036,3_6_409_1107
SRR7183849,3_6_409_1107
ERR425497,3_6_409_1107
SRR8726343,3_6_409_1107
ERR460209,3_6_409_1107
SRR8726335,3_6_409_1107
SRR3661903,3_6_409_1107
SRR3663462,3_6_409_1107
SRR7183313,3_6_409_1107
SRR3661501,3_6_409_1107
SRR11130786,3_6_409_1107
ERR876444,3_6_409_1107
SRR8722101,3_6_409_1107
SRR8721881,3_6_409_1107
SRR7190640,3_6_409_1107
SRR7176600,3_6_409_1107
SRR7183366,3_6_409_1107
ERR449097,3_6_409_1107
SRR8725682,3_6_409_1107
SRR11152469,3_6_409_1107
SRR8726176,3_6_409_1107
ERR449229,3_6_409_1107
ERR876503,3_6_409_1107
ERR449251,3_6_409_1107
ERR433776,3_6_409_1107
SRR11130392,3_6_409_1107
ERR326476,3_6_409_1107
SRR3661945,3_6_409_1107
ERR438953,3_6_409_1107
SRR11130552,3_6_409_1107
ERR449135,3_6_409_1107
SRR11130738,3_6_409_1107
SRR7176470,3_6_409_1107
SRR11141712,3_6_409_1107
SRR11152356,3_6_409_1107
SRR11152347,3_6_409_1107
SRR11130166,3_6_409_1107
SRR11152485,3_6_409_1107
SRR11141341,3_6_409_1107
SRR8725048,3_6_409_1107
SRR7176320,3_6_409_1107
SRR11140913,3_6_409_1107
SRR8721897,3_6_409_1107
ERR600082,3_6_409_1107
SRR11130561,3_6_409_1107
ERR505810,3_6_409_1107
SRR3663601,3_6_409_1107
SRR8726349,3_6_409_1107
ERR449162,3_6_409_1107
ERR433521,3_6_409_1107
SRR8725581,3_6_409_1107
SRR3662082,3_6_409_1107
SRR11130878,3_6_409_1107
SRR7176038,3_6_409_1107
SRR3663586,3_6_409_1107
SRR7175770,3_6_409_1107
SRR8726667,3_6_409_1107
SRR3662479,3_6_409_1107
SRR7183750,3_6_409_1107
SRR8725506,3_6_409_1107
SRR8721882,3_6_409_1107
SRR8726514,3_6_409_1107
SRR3662048,3_6_409_1107
SRR8726447,3_6_409_1107
SRR3663266,3_6_409_1107
ERR425365,3_6_409_1107
SRR11130443,3_6_409_1107
SRR8722839,3_6_409_1107
SRR8726148,3_6_409_1107
ERR505842,3_6_409_1107
SRR7190610,3_6_409_1107
SRR7176471,3_6_409_1107
SRR8725128,3_6_409_1107
SRR7175862,3_6_409_1107
SRR8725969,3_6_409_1107
SRR3663115,3_6_409_1107
SRR8725158,3_6_409_1107
SRR11130379,3_6_409_1107
SRR2072347,3_6_409_1107
SRR7183426,3_6_409_1107
SRR11141795,3_6_409_1107
ERR742609,3_6_409_1107
SRR8722462,3_6_409_1107
SRR7190004,3_6_409_1107
SRR11141054,3_6_409_1107
SRR11141718,3_6_409_1107
SRR11153017,3_6_409_1107
SRR7183835,3_6_409_1107
SRR11130266,3_6_409_1107
ERR425395,3_6_409_1107
ERR505849,3_6_409_1107
SRR11141778,3_6_409_1107
SRR7190043,3_6_409_1107
SRR7184025,3_6_409_1107
SRR8725785,3_6_409_1107
SRR8722815,3_6_409_1107
SRR7183578,3_6_409_1107
SRR7190642,3_6_409_1107
SRR8726330,3_6_409_1107
SRR3663435,3_6_409_1107
ERR876432,3_6_409_1107
ERR425452,3_6_409_1107
SRR3663283,3_6_409_1107
SRR11130187,3_6_409_1107
SRR7190213,3_6_409_1107
SRR7183935,3_6_409_1107
SRR7175952,3_6_409_1107
SRR8725975,3_6_409_1107
SRR7183477,3_6_409_1107
SRR7183761,3_6_409_1107
SRR8725421,3_6_409_1107
SRR8726404,3_6_409_1107
SRR2072235,3_6_409_1107
ERR449230,3_6_409_1107
ERR449174,3_6_409_1107
SRR11141424,3_6_409_1107
SRR5168094,3_6_409_1107
SRR3662866,3_6_409_1107
SRR7183478,3_6_409_1107
ERR433590,3_6_409_1107
ERR449250,3_6_409_1107
SRR7184190,3_6_409_1107
SRR4242994,3_6_409_1107
SRR11140895,3_6_409_1107
ERR742618,3_6_409_1107
SRR3661644,3_6_409_1107
SRR3662102,3_6_409_1107
SRR7176569,3_6_409_1107
SRR8726020,3_6_409_1107
SRR3663568,3_6_409_1107
SRR8725086,3_6_409_1107
ERR326470,3_6_409_1107
ERR876455,3_6_409_1107
SRR3661767,3_6_409_1107
SRR7176290,3_6_409_1107
SRR3661636,3_6_409_1107
SRR8725407,3_6_409_1107
SRR11153018,3_6_409_1107
SRR8725609,3_6_409_1107
SRR11140948,3_6_409_1107
SRR7183574,3_6_409_1107
SRR8725655,3_6_409_1107
SRR11152759,3_6_409_1107
ERR433766,3_6_409_1107
SRR7184106,3_6_409_1107
SRR3661254,3_6_409_1107
SRR3662936,3_6_409_1107
SRR11130179,3_6_409_1107
SRR7176543,3_6_409_1107
SRR11152587,3_6_409_1107
SRR7183945,3_6_409_1107
SRR8722440,3_6_409_1107
SRR8726573,3_6_409_1107
SRR11152295,3_6_409_1107
ERR433976,3_6_409_1107
SRR3663105,3_6_409_1107
ERR586428,3_6_409_1107
SRR11130724,14
SRR3661222,14
SRR11141502,14
SRR8721924,14
SRR11130620,14
SRR11153006,14
SRR11130721,14
SRR8726664,14
SRR8726737,14
SRR8722374,14
SRR8725754,14
SRR3661255,14
SRR11141662,14
SRR8722274,14
SRR3662394,14
SRR7183357,14
SRR11141272,14
SRR7176367,14
SRR7190235,14
SRR11152865,14
SRR8722238,14
SRR8722257,14
SRR11152965,14
SRR8722590,14
SRR8725157,14
SRR11141002,14
SRR7172212,14
SRR7190091,14
SRR7176551,14
SRR7190370,14
SRR11130400,14
SRR7190395,14
SRR11130492,14
SRR7172192,14
SRR11140930,14
SRR11130247,14
SRR7190003,14
SRR11152312,14
SRR7190690,14
SRR7176208,14
SRR7175947,14
SRR3661560,14
SRR7190683,14
SRR3663016,14
SRR8726132,14
SRR3661289,14
SRR3662707,14
SRR7183527,14
SRR8722373,14
SRR11130189,14
SRR7183544,14
SRR8725402,14
SRR8722039,14
SRR7190337,14
SRR8722775,14
SRR11130347,14
SRR11140957,14
SRR11141464,14
SRR7176121,14
SRR8726660,14
SRR11152755,14
SRR8725699,14
SRR8725269,14
SRR3663341,14
SRR7176170,14
SRR11152901,14
SRR8725574,14
ERR600091,14
SRR7190086,14
SRR8725264,14
SRR11140867,14
SRR11130074,14
SRR7172187,14
SRR7190393,14
SRR11152488,14
SRR11130110,14
SRR7190623,14
SRR3661844,14
SRR11130188,14
SRR3663060,14
SRR7189747,14
SRR7184094,14
SRR3661408,14
SRR11152465,14
SRR3662815,14
SRR7183353,14
SRR8722294,14
SRR3662155,14
SRR11130154,14
SRR3662797,14
SRR3662333,14
SRR11129952,14
SRR7183733,14
SRR7172214,14
SRR7176162,14
SRR7183538,14
SRR11130587,14
SRR11130663,14
SRR3662977,14
SRR8726014,14
SRR8722408,14
SRR8722346,14
SRR3660595,14
SRR8726450,14
SRR3662819,14
SRR8722515,14
SRR11141174,14
SRR7189938,14
SRR11130512,14
SRR11152344,14
SRR11140887,14
SRR8725168,14
SRR3662436,14
SRR11130855,14
SRR8725841,14
SRR7190489,14
SRR7189793,14
SRR8725117,14
SRR7189776,14
SRR3662857,14
SRR8726364,14
SRR3661711,14
SRR3661369,14
SRR8725498,14
SRR7190440,14
SRR8725069,14
SRR11152511,14
SRR8725641,14
SRR8721958,14
SRR8725257,14
SRR3661616,14
SRR3661466,14
SRR8722173,14
SRR8722744,14
SRR11140940,14
SRR7184090,14
SRR8722816,14
SRR7172239,14
SRR8722584,14
SRR7183338,14
SRR7190290,14
SRR7176457,14
SRR3663569,14
SRR8726679,14
SRR11141598,14
SRR8726125,14
SRR7190678,14
SRR11130398,14
SRR11130435,14
SRR3661194,14
SRR7189834,14
SRR11140894,14
SRR3662131,14
SRR8721863,14
ERR434003,14
SRR11141506,14
SRR7190666,14
SRR11130250,14
SRR8722115,14
SRR8725983,14
SRR7190071,14
SRR8725592,14
SRR11152575,14
SRR3663416,14
SRR8726177,14
SRR8726146,14
SRR8722304,14
SRR7190326,14
SRR7189849,14
SRR11152329,14
SRR8722484,14
SRR7183270,14
SRR11153052,14
SRR3662342,14
SRR3661812,14
SRR8722445,14
SRR7190181,14
SRR8726670,14
SRR11141144,14
SRR3663284,14
SRR7176570,14
ERR505857,14
SRR11152630,14
SRR7190123,14
SRR8722620,14
SRR3663431,14
SRR7184192,14
SRR11141814,14
SRR7189910,14
ERR742646,14
SRR3661473,14
SRR7189798,14
SRR7183415,14
SRR8725395,14
SRR3661533,14
SRR7176246,14
SRR3662286,14
SRR8722017,14
SRR3661924,14
SRR11130262,14
SRR11130723,14
SRR11141523,14
SRR8722064,14
SRR8725295,14
SRR11152662,14
SRR11130549,14
SRR11130668,14
ERR742633,14
SRR11129963,14
SRR11141001,14
SRR7183400,14
SRR3661914,14
SRR11130674,14
SRR8722459,14
SRR3661859,14
SRR8725339,14
SRR11152824,14
SRR11152957,14
SRR8721870,14
SRR7189760,14
SRR7175730,14
SRR3661470,14
SRR8722543,14
SRR11140865,14
SRR7175910,14
SRR7190423,14
SRR7183664,14
SRR8725995,14
ERR742651,14
SRR11141582,14
SRR11130683,14
SRR11130762,14
SRR7189763,14
SRR11141643,14
SRR7190485,14
SRR3663272,14
SRR11141284,14
SRR8722680,14
SRR11141183,14
SRR3662922,14
SRR7172246,14
SRR8722195,14
SRR11152840,14
SRR11141255,14
SRR3661199,14
SRR11130022,14
SRR7189770,14
SRR8726337,14
SRR7175936,14
SRR8722517,14
SRR3662029,14
SRR11130219,14
SRR11152978,14
SRR8725639,14
SRR8722454,14
SRR8722841,14
SRR7190215,14
SRR3662741,14
SRR3662715,14
SRR7189810,14
SRR11130320,14
SRR3662776,14
SRR8722575,14
SRR11130748,14
SRR11141137,14
SRR2072217,14
SRR11141202,14
SRR7190483,14
SRR11141717,14
SRR8726639,14
SRR7175761,14
SRR11152981,14
SRR7190720,14
SRR11152733,14
SRR7183561,14
SRR7190051,14
SRR7190436,14
SRR8726697,14
SRR11130797,14
SRR11130563,14
SRR7183817,14
SRR11130439,14
SRR8725904,14
SRR8722163,14
SRR11152386,14
SRR11152826,14
SRR3663367,14
SRR7176523,14
SRR11153020,14
SRR11130003,14
SRR7189859,14
SRR7190226,14
SRR7176041,14
SRR8725029,14
ERR449184,14
SRR11130161,14
SRR8725900,14
SRR11141367,14
SRR7175855,14
SRR8722244,14
SRR7190291,14
SRR11141267,14
SRR11130016,14
SRR7189924,14
SRR7172225,14
SRR8726257,14
SRR8725348,14
SRR11152680,14
SRR7176157,14
SRR7172223,14
SRR11141187,14
SRR8725227,14
SRR11141771,14
SRR7190308,14
SRR11152934,14
SRR7172190,14
SRR3662287,14
SRR8725595,14
SRR7176353,14
SRR7183444,14
SRR7176045,14
SRR7183430,14
SRR11152806,14
SRR7176619,14
SRR7190072,14
SRR7175856,14
SRR11141646,14
SRR8726513,14
SRR3661593,14
SRR8722037,14
SRR8722743,14
SRR7183576,14
SRR11141569,14
SRR8725612,14
SRR3661185,14
ERR449094,14
SRR7190677,14
SRR7190098,14
SRR3662227,14
ERR742658,14
SRR7190412,14
SRR11152379,14
SRR3662887,14
SRR7189884,14
SRR8722441,14
SRR3662336,14
SRR11152499,14
SRR3661988,14
SRR11130747,14
SRR8725226,14
SRR7172167,14
SRR8726589,14
SRR7183459,14
SRR7183569,14
SRR3663310,14
SRR8725937,14
SRR7176638,14
SRR7190009,14
SRR7176116,14
SRR7190533,14
SRR8722496,14
SRR8725578,14
ERR438951,14
SRR7176064,14
SRR7190689,14
SRR7190035,14
SRR8722661,14
SRR11152990,14
SRR7184097,14
SRR7190532,14
SRR11141150,14
SRR8722469,14
SRR3661424,14
SRR3662225,14
SRR8722629,14
SRR8722567,14
SRR11130661,14
SRR11130458,14
SRR11130817,14
SRR7190129,14
SRR7189965,14
SRR7176515,14
SRR11141108,14
SRR7176112,14
SRR8722722,14
SRR11152358,14
SRR7183563,14
SRR7183803,14
SRR11130005,14
SRR7175874,14
SRR11152834,14
SRR8722829,14
SRR11140870,14
SRR7183493,14
SRR8725480,14
SRR7175868,14
SRR7175962,14
SRR7176657,14
SRR8722664,14
SRR3661190,14
SRR8725457,14
SRR8721921,14
SRR8725323,14
SRR11141740,14
SRR11141846,14
SRR3662218,14
SRR8722105,14
SRR11152800,14
SRR7175783,14
SRR11130130,14
SRR11141508,14
SRR8722535,14
SRR7176334,14
SRR11152420,14
SRR11152876,14
SRR7190381,14
SRR8722341,14
SRR3663580,14
SRR7190136,14
SRR11152463,14
SRR8722607,14
SRR7189919,14
SRR7190502,14
SRR3662942,14
SRR3660610,14
SRR11129942,14
SRR7190197,14
SRR11130177,14
SRR3661514,14
SRR8721945,14
SRR7190492,14
SRR11152466,14
SRR11152439,14
SRR7172179,14
SRR11153024,14
SRR7176165,14
SRR11141407,14
SRR3662956,14
SRR8722495,14
SRR8725120,14
SRR11141822,14
SRR11141483,14
SRR3662421,14
SRR7176099,14
SRR7183957,14
SRR11141240,14
SRR8722653,14
SRR8725669,14
SRR11141515,14
SRR8722833,14
SRR7190648,14
SRR3663364,14
SRR3661662,14
SRR8721906,14
SRR7176159,14
SRR3661863,14
SRR7176374,14
SRR11152672,14
SRR11130431,14
SRR3661250,14
SRR8722556,14
SRR7176552,14
SRR7190592,14
SRR2072234,14
SRR3660588,14
SRR7175727,14
SRR11140856,14
SRR3662445,14
SRR8722513,14
SRR8722164,14
ERR600093,14
SRR11130914,14
SRR3662115,14
SRR7189774,14
SRR3661708,14
SRR7175717,14
SRR3662400,14
SRR8725826,14
SRR8725960,14
SRR3662462,14
SRR8722014,14
SRR3661188,14
SRR11141571,14
SRR11130803,14
SRR11141289,14
SRR8725946,14
SRR8722083,14
SRR8726398,14
SRR11130287,14
SRR8725032,14
SRR11129987,14
SRR8725354,14
SRR11130180,14
SRR3662145,14
SRR8725051,14
SRR7172193,14
SRR7176050,14
SRR3661768,14
SRR3661563,14
SRR3663296,14
SRR11141256,14
SRR11130282,14
SRR11152980,14
SRR7184083,14
SRR3663252,14
SRR7183392,14
SRR11129951,14
SRR11130827,14
SRR8722706,14
SRR3662447,14
SRR8721937,14
SRR11130756,14
SRR3661464,14
SRR8722386,14
SRR8722507,14
SRR7183521,14
SRR7172188,14
SRR3662216,14
SRR8725344,14
SRR3662152,14
SRR8725439,14
SRR11141537,14
SRR3662833,14
SRR11141754,14
SRR8725650,14
SRR3662784,14
SRR11152846,14
SRR7189832,14
SRR8726246,14
SRR11141012,14
SRR8722062,14
SRR8726253,14
SRR7190199,14
SRR8726635,14
SRR3662932,14
SRR7176431,14
ERR600095,14
SRR3661410,14
SRR11130522,14
SRR8725642,14
SRR8725600,14
SRR11130852,14
SRR11140982,14
SRR11141512,14
SRR3662953,14
SRR7190474,14
SRR8722022,14
SRR8722412,14
SRR7175734,14
SRR11129941,14
SRR7175975,14
